"Time (ms)","Recording (a.u.)"
2.083412250E1,-4.577636719E-4
2.085495663E1,-4.882812500E-4
2.087579075E1,-3.967285156E-4
2.089662487E1,-4.272460938E-4
2.091745899E1,-5.493164062E-4
2.093829312E1,-4.577636719E-4
2.095912724E1,-5.798339844E-4
2.097996136E1,-3.967285156E-4
2.100079548E1,-4.882812500E-4
2.102162961E1,-4.882812500E-4
2.104246373E1,-4.272460938E-4
2.106329785E1,-4.577636719E-4
2.108413197E1,-4.882812500E-4
2.110496610E1,-4.882812500E-4
2.112580022E1,-5.493164062E-4
2.114663434E1,-5.187988281E-4
2.116746846E1,-4.882812500E-4
2.118830259E1,-5.493164062E-4
2.120913671E1,-4.882812500E-4
2.122997083E1,-4.577636719E-4
2.125080495E1,-4.577636719E-4
2.127163908E1,-3.662109375E-4
2.129247320E1,-4.272460938E-4
2.131330732E1,-3.662109375E-4
2.133414144E1,-3.051757812E-4
2.135497557E1,-4.272460938E-4
2.137580969E1,-3.051757812E-4
2.139664381E1,-3.356933594E-4
2.141747793E1,-2.441406250E-4
2.143831206E1,-3.356933594E-4
2.145914618E1,-3.051757812E-4
2.147998030E1,-2.136230469E-4
2.150081442E1,-2.136230469E-4
2.152164855E1,-2.136230469E-4
2.154248267E1,-2.136230469E-4
2.156331679E1,-2.746582031E-4
2.158415091E1,-1.831054688E-4
2.160498504E1,-3.051757812E-4
2.162581916E1,-2.136230469E-4
2.164665328E1,-1.831054688E-4
2.166748740E1,-1.220703125E-4
2.168832153E1,-2.136230469E-4
2.170915565E1,-6.103515625E-5
2.172998977E1,-6.103515625E-5
2.175082389E1,-9.155273438E-5
2.177165802E1,-3.051757812E-5
2.179249214E1,-1.220703125E-4
2.181332626E1,-9.155273438E-5
2.183416038E1,-1.220703125E-4
2.185499451E1,6.103515625E-5
2.187582863E1,-9.155273438E-5
2.189666275E1,-6.103515625E-5
2.191749687E1,3.051757812E-5
2.193833100E1,-6.103515625E-5
2.195916512E1,0.000000000E0
2.197999924E1,0.000000000E0
2.200083336E1,-6.103515625E-5
2.202166749E1,3.051757812E-5
2.204250161E1,-6.103515625E-5
2.206333573E1,3.051757812E-5
2.208416985E1,-3.051757812E-5
2.210500398E1,-9.155273438E-5
2.212583810E1,-3.051757812E-5
2.214667222E1,-9.155273438E-5
2.216750634E1,-9.155273438E-5
2.218834047E1,-1.220703125E-4
2.220917459E1,-1.831054688E-4
2.223000871E1,-1.220703125E-4
2.225084283E1,-1.525878906E-4
2.227167696E1,-9.155273438E-5
2.229251108E1,-1.220703125E-4
2.231334520E1,-1.220703125E-4
2.233417932E1,0.000000000E0
2.235501345E1,-1.220703125E-4
2.237584757E1,-1.525878906E-4
2.239668169E1,-3.051757812E-5
2.241751581E1,-1.220703125E-4
2.243834994E1,-1.220703125E-4
2.245918406E1,-9.155273438E-5
2.248001818E1,-6.103515625E-5
2.250085231E1,-9.155273438E-5
2.252168643E1,-1.831054688E-4
2.254252055E1,-3.051757812E-5
2.256335467E1,-1.220703125E-4
2.258418880E1,-1.220703125E-4
2.260502292E1,-2.746582031E-4
2.262585704E1,-6.103515625E-5
2.264669116E1,-1.525878906E-4
2.266752529E1,-1.831054688E-4
2.268835941E1,-1.525878906E-4
2.270919353E1,-3.051757812E-5
2.273002765E1,-3.051757812E-5
2.275086178E1,-1.831054688E-4
2.277169590E1,-6.103515625E-5
2.279253002E1,-6.103515625E-5
2.281336414E1,-9.155273438E-5
2.283419827E1,-1.220703125E-4
2.285503239E1,-1.220703125E-4
2.287586651E1,-1.525878906E-4
2.289670063E1,-1.831054688E-4
2.291753476E1,-9.155273438E-5
2.293836888E1,-1.525878906E-4
2.295920300E1,-1.831054688E-4
2.298003712E1,-1.831054688E-4
2.300087125E1,-9.155273438E-5
2.302170537E1,-1.525878906E-4
2.304253949E1,-9.155273438E-5
2.306337361E1,-9.155273438E-5
2.308420774E1,-6.103515625E-5
2.310504186E1,-1.525878906E-4
